tweet,label
SRK is the king of Bollywood,positive
Shah Rukh Khan always delivers amazing performances,positive
Loved his acting in the latest movie,positive
SRK never disappoints his fans,positive
His charisma is unmatched,positive
Best actor in India,positive
SRK movies are always entertaining,positive
His screen presence is powerful,positive
I admire Shah Rukh Khan a lot,positive
SRK is a legend,positive
Amazing storyline and great acting by SRK,positive
He deserves all the success,positive
SRK is my favorite actor,positive
His movies are always worth watching,positive
Fantastic performance by Shah Rukh Khan,positive
SRK always gives blockbuster hits,positive
His acting skills are top-notch,positive
Loved his dialogue delivery,positive
SRK has a huge fan following,positive
His movies inspire people,positive
Brilliant actor and personality,positive
SRK is a global icon,positive
He is very hardworking,positive
SRK is a superstar,positive
His movies are full of emotions,positive
SRK is the best romantic hero,positive
Loved his performance,positive
SRK is very talented,positive
Great movie and acting,positive
SRK always impresses,positive
His movies are enjoyable,positive
SRK is a versatile actor,positive
His acting is natural,positive
He is very charming,positive
SRK movies are fun to watch,positive
His performance was outstanding,positive
SRK is very popular,positive
Loved the movie,positive
SRK nailed the role,positive
He is an inspiration,positive
The movie was average,neutral
SRK performance was okay,neutral
Not bad but not great either,neutral
Movie was fine,neutral
It was an average experience,neutral
SRK did a decent job,neutral
Story was okay,neutral
Nothing special about the movie,neutral
It was just fine,neutral
Movie was neither good nor bad,neutral
Acting was okay,neutral
Average storyline,neutral
The movie was watchable,neutral
SRK was decent,neutral
Not too impressive,neutral
Movie had mixed reviews,neutral
It was okay overall,neutral
SRK performance was normal,neutral
Average acting,neutral
Nothing extraordinary,neutral
Movie was moderate,neutral
It was acceptable,neutral
SRK did fine,neutral
The film was okay,neutral
Neutral feelings about the movie,neutral
It was just average,neutral
Not exciting but not boring,neutral
SRK was okay in the film,neutral
Movie was average overall,neutral
Performance was normal,neutral
I didn't like the movie,negative
SRK performance was disappointing,negative
Worst movie ever,negative
The story was boring,negative
SRK acting was not good,negative
I expected more from SRK,negative
The movie was a waste of time,negative
Very bad storyline,negative
SRK failed to impress,negative
Not worth watching,negative
The film was boring,negative
Poor acting by SRK,negative
Disappointing performance,negative
Movie was dull,negative
Bad direction and acting,negative
SRK could have done better,negative
The movie was terrible,negative
Worst experience watching this,negative
Not a good movie,negative
SRK acting was weak,negative
Very slow and boring movie,negative
I didn't enjoy the film,negative
Bad screenplay,negative
SRK performance lacked energy,negative
Movie was not engaging,negative
Waste of money,negative
Very disappointing movie,negative
Poor execution,negative
SRK was not impressive,negative
The movie was too boring,negative
